time,Chl,sst,par
15-Oct-08,0.104,28.42011833,29.475
23-Oct-08,0.078,28.61662674,40.22
31-Oct-08,0.091,29.66802025,41.007
8-Nov-08,0.14,27.17795372,26.126
16-Nov-08,0.21,26.85593796,27.52
24-Nov-08,,26.18967247,22.39
2-Dec-08,0.216,25.85905075,27.264
10-Dec-08,0.369,25.20856285,28.913
18-Dec-08,0.344,24.40029526,27.696
26-Dec-08,0.273,25.18131065,28.446
1-Jan-09,0.334,23.6752224,28.351
9-Jan-09,0.233,23.61497879,26.977
17-Jan-09,0.335,23.17319298,38.318
25-Jan-09,0.226,23.32882118,37.353
2-Feb-09,0.183,23.11653519,36.223
10-Feb-09,0.128,25.20354271,40.447
18-Feb-09,0.131,25.70126915,43.677
26-Feb-09,0.114,26.18250084,41.449
6-Mar-09,0.11,26.57408333,49.002
14-Mar-09,0.127,25.94511223,48.207
22-Mar-09,0.087,28.45023918,52.545
30-Mar-09,,27.40745354,37.731
7-Apr-09,0.084,25.86837387,46.942
15-Apr-09,0.089,27.63910294,43.422
23-Apr-09,0.084,28.86118698,39.572
1-May-09,,26.39765549,43.114
9-May-09,0.08,27.6319313,54.925
17-May-09,0.085,29.23125458,44.798
25-May-09,0.096,26.1968441,37.138
2-Jun-09,0.077,29.08136177,41.012
10-Jun-09,0.071,29.01251221,52.248
18-Jun-09,0.103,29.06486702,44.606
26-Jun-09,0.083,29.78994179,51.988
4-Jul-09,0.076,30.18726158,52.158
12-Jul-09,0.076,29.34026527,46.07
20-Jul-09,0.067,28.89847946,52.792
28-Jul-09,0.076,29.5755024,33.965
5-Aug-09,,28.41653252,41.883
13-Aug-09,0.087,30.04382515,50.781
21-Aug-09,0.083,31.23506927,53.008
29-Aug-09,0.118,30.50999451,37.595
6-Sep-09,0.06,29.67806053,35.877
14-Sep-09,0.099,29.69670677,44.674
22-Sep-09,0.082,45.00071716,37.606
30-Sep-09,0.141,28.21500206,37.027
8-Oct-09,0.117,28.0213623,39.02
16-Oct-09,0.105,27.56595039,33.664
24-Oct-09,0.116,27.21094322,38.14
1-Nov-09,0.241,27.20448875,33.831
9-Nov-09,0.154,27.87290573,39.037
17-Nov-09,,45.00071716,16.303
25-Nov-09,0.187,25.92144585,32.84
3-Dec-09,0.188,25.64604568,32.101
11-Dec-09,0.165,25.25159454,34.644
19-Dec-09,0.207,25.01922607,30.931
27-Dec-09,0.199,24.95037651,34.894
1-Jan-10,0.166,24.53727913,35.804
9-Jan-10,0.168,24.70438194,31.341
17-Jan-10,0.201,24.10840225,35.74
25-Jan-10,0.136,25.05078316,40.134
2-Feb-10,0.113,25.43662834,42.131
10-Feb-10,0.099,25.94941521,44.657
18-Feb-10,0.116,25.3964653,42.116
26-Feb-10,0.106,26.49806213,47.455
6-Mar-10,0.14,26.53679085,44.92
14-Mar-10,0.139,26.56619453,50.426
22-Mar-10,0.138,26.89107895,51.462
30-Mar-10,0.192,26.22051239,53.293
7-Apr-10,0.114,26.38546371,52.061
15-Apr-10,0.078,27.47845459,55.029
23-Apr-10,0.096,,51.088
1-May-10,0.076,29.14877701,54.883
9-May-10,0.078,29.53175354,56.454
17-May-10,0.076,30.39954758,48.003
25-May-10,0.1,,35.532
2-Jun-10,0.062,29.21762657,41.839
10-Jun-10,0.066,30.01370239,53.46
18-Jun-10,0.076,30.81766701,53.954
26-Jun-10,0.07,30.49206543,47.036
4-Jul-10,0.08,30.59534073,51.716
12-Jul-10,0.095,30.36010361,43.325
20-Jul-10,0.038,29.95345879,37.039
28-Jul-10,0.079,30.42178154,48.846
5-Aug-10,0.095,29.5618763,51.349
13-Aug-10,0.095,31.29818153,45.086
21-Aug-10,0.1,29.39548874,29.643
29-Aug-10,,,38.48
6-Sep-10,0.11,30.06677437,39.509
14-Sep-10,0.089,30.10980606,44.976
22-Sep-10,0.098,30.02445984,46.011
30-Sep-10,0.101,29.30512428,28.893
8-Oct-10,0.093,29.38186264,40.55
16-Oct-10,0.103,26.02973938,28.89
24-Oct-10,0.33,26.9699707,35.935
1-Nov-10,,2.54E+01,26.107
9-Nov-10,,,21.367
17-Nov-10,0.167,25.72637177,30.705
25-Nov-10,0.169,26.13660049,27.982
3-Dec-10,0.119,25.94224358,29.043
11-Dec-10,0.132,27.12416458,27.781
19-Dec-10,0.143,26.72182465,33.174
27-Dec-10,0.129,25.42802238,30.354
1-Jan-11,0.185,24.83992958,28.396
9-Jan-11,0.218,,17.93
17-Jan-11,0.217,23.85021591,23.096
25-Jan-11,,22.82535744,24.855
2-Feb-11,0.217,23.05557442,39.307
10-Feb-11,0.241,23.16817284,42.848
18-Feb-11,0.275,23.38189316,42.564
26-Feb-11,0.159,22.76511383,42.337
6-Mar-11,0.313,24.52508545,40.354
14-Mar-11,0.132,25.36060715,39.731
22-Mar-11,,25.01348877,31.896
30-Mar-11,0.195,24.32140541,45.223
7-Apr-11,0.131,25.18417931,53.585
15-Apr-11,0.09,26.24202728,48.326
23-Apr-11,0.092,27.73735809,51.325
1-May-11,0.065,29.3359623,55.847
9-May-11,0.089,29.29221535,55.472
17-May-11,0.097,,35.24
25-May-11,,29.18822289,51.097
2-Jun-11,0.083,30.22670746,55.183
10-Jun-11,0.088,29.30440712,49.454
18-Jun-11,0.066,29.07992744,33.238
26-Jun-11,0.084,29.77129364,48.783
4-Jul-11,0.087,29.92477226,43.779
12-Jul-11,,29.03546333,32.409
20-Jul-11,0.076,28.68045616,54.813
28-Jul-11,0.098,29.20471764,47.771
5-Aug-11,,29.54538155,36.234
13-Aug-11,0.084,30.39811325,40.1
21-Aug-11,0.076,30.69861412,50.113
29-Aug-11,0.109,29.45142937,44.164
6-Sep-11,0.052,31.19992638,34.796
14-Sep-11,0.099,29.63072586,30.308
22-Sep-11,0.076,,36.848
30-Sep-11,0.221,26.60922623,43.304
8-Oct-11,0.138,25.75362396,41.276
16-Oct-11,,27.14998245,35.455
24-Oct-11,0.111,27.17293358,39.286
1-Nov-11,0.114,27.49136353,33.194
9-Nov-11,0.121,27.32282448,28.946
17-Nov-11,0.118,27.12273026,35.35
25-Nov-11,0.139,26.20114708,26.995
3-Dec-11,,25.4373455,21.981
11-Dec-11,,,16.792
19-Dec-11,,,17.286
27-Dec-11,,24.1600399,25.372
1-Jan-12,0.21,23.50022888,26.052
9-Jan-12,0.286,24.41464043,23.986
17-Jan-12,0.297,23.61713028,40.081
25-Jan-12,0.302,23.63864517,35.298
2-Feb-12,0.214,24.48851013,39.475
10-Feb-12,0.205,24.09692764,34.861
18-Feb-12,0.174,25.52627563,40.565
26-Feb-12,0.119,25.21430016,48.296
5-Mar-12,0.106,26.61711502,45.988
13-Mar-12,0.123,26.66158104,48.492
21-Mar-12,0.1,27.413908,41.79
29-Mar-12,0.089,25.00990295,47.22
6-Apr-12,0.1,27.88079453,55.056
14-Apr-12,0.095,28.0701313,50.77
22-Apr-12,0.089,28.72205353,55.623
30-Apr-12,0.082,29.57191658,55.745
8-May-12,0.071,30.55087471,51.871
16-May-12,0.107,29.60132217,38.752
24-May-12,0.086,29.52745056,46.315
1-Jun-12,0.085,29.68881798,46.422
9-Jun-12,,,22.659
17-Jun-12,0.103,28.65678787,43.058
25-Jun-12,0.107,28.48466492,44.606
3-Jul-12,0.087,28.58363533,50.874
11-Jul-12,0.063,29.76555634,55.176
19-Jul-12,,30.29197121,27.379
27-Jul-12,,,34.995
4-Aug-12,,,43.158
12-Aug-12,,28.11388016,31.561
20-Aug-12,0.091,29.67590904,41.585
28-Aug-12,,,42.228
5-Sep-12,0.081,29.14447403,49.594
13-Sep-12,0.088,29.5188446,50.062
21-Sep-12,0.081,28.86046982,43.458
29-Sep-12,,,28.745
7-Oct-12,0.101,28.33477211,41.852
15-Oct-12,0.09,27.82413673,41.751
23-Oct-12,0.107,28.01203918,39.766
31-Oct-12,0.101,27.73807526,32.548
8-Nov-12,0.113,28.01777649,37.247
16-Nov-12,0.12,28.66109276,35.814
24-Nov-12,0.115,28.27237701,39.102
2-Dec-12,0.12,28.0371418,26.864
10-Dec-12,0.15,26.79641151,33.774
18-Dec-12,0.152,26.27501678,27.568
26-Dec-12,0.211,25.27526093,23.18
1-Jan-13,,24.58819771,22.932
9-Jan-13,0.285,23.77777863,26.741
17-Jan-13,0.316,24.18012047,32.527
25-Jan-13,0.3,23.63003922,38.115
2-Feb-13,0.253,24.82486916,40.921
10-Feb-13,0.227,24.19446373,40.368
18-Feb-13,0.142,24.46484184,41.915
26-Feb-13,0.242,24.79976845,47.102
6-Mar-13,0.141,24.71442223,47.15
14-Mar-13,0.065,26.52101135,50.342
22-Mar-13,0.095,27.82055092,51.64
30-Mar-13,0.084,27.84278297,48.71
7-Apr-13,,26.40267563,46.812
15-Apr-13,0.086,28.17125511,53.887
23-Apr-13,0.092,29.30584145,55.346
1-May-13,0.094,29.51382446,48.702
9-May-13,0.074,29.35030746,56.326
17-May-13,0.066,29.97712708,53.009
25-May-13,0.072,31.40719223,53.499
2-Jun-13,0.069,32.09425735,56.175
10-Jun-13,0.051,31.01991272,43.597
18-Jun-13,0.098,31.18271446,40.008
26-Jun-13,0.099,29.61853409,53.576
4-Jul-13,0.089,29.88676071,51.381
12-Jul-13,0.085,29.52243042,46.861
20-Jul-13,0.101,30.11554337,32.92
28-Jul-13,0.089,29.49517822,48.594
5-Aug-13,0.1,29.0885334,45.712
13-Aug-13,,,32.856
21-Aug-13,0.097,29.39477158,38.431
29-Aug-13,0.068,,44.367
6-Sep-13,0.098,28.96159172,42.826
14-Sep-13,0.087,30.0545826,38.814
22-Sep-13,0.103,,34.404
30-Sep-13,0.085,28.62594986,47.404
8-Oct-13,0.103,28.8023777,41.52
16-Oct-13,0.135,27.84350014,39.831
24-Oct-13,0.125,26.94630241,38.321
1-Nov-13,0.148,24.38021469,31.974
9-Nov-13,0.16,29.22480011,30.885
17-Nov-13,0.169,26.56978035,34.529
25-Nov-13,,26.57480049,29.702
3-Dec-13,0.197,25.5542469,33.581
11-Dec-13,0.156,26.35677719,24.309
19-Dec-13,,24.27980804,14.313
27-Dec-13,,,28.753
